plant,iid,device,field
technique_solar_34MW,7732,B01_INV01,PAC
technique_solar_34MW,7732,B01_INV02,PAC
technique_solar_34MW,7732,B01_INV03,PAC
technique_solar_34MW,7732,B01_INV04,PAC
technique_solar_34MW,7732,B02_INV01,PAC
technique_solar_34MW,7732,B02_INV02,PAC
technique_solar_34MW,7732,B02_INV03,PAC
technique_solar_34MW,7732,B02_INV04,PAC
technique_solar_34MW,7732,B03_INV01,PAC
technique_solar_34MW,7732,B03_INV02,PAC
technique_solar_34MW,7732,B03_INV03,PAC
technique_solar_34MW,7732,B03_INV04,PAC
technique_solar_34MW,7732,B04_INV01,PAC
technique_solar_34MW,7732,B04_INV02,PAC
technique_solar_34MW,7732,B04_INV03,PAC
technique_solar_34MW,7732,B04_INV04,PAC
technique_solar_34MW,7732,B05_INV01,PAC
technique_solar_34MW,7732,B05_INV02,PAC
technique_solar_34MW,7732,B05_INV03,PAC
technique_solar_34MW,7732,B05_INV04,PAC
technique_solar_34MW,7732,B06_INV01,PAC
technique_solar_34MW,7732,B06_INV02,PAC
technique_solar_34MW,7732,B06_INV03,PAC
technique_solar_34MW,7732,B06_INV04,PAC
technique_solar_34MW,7732,B07_INV01,PAC
technique_solar_34MW,7732,B07_INV02,PAC
technique_solar_34MW,7732,B07_INV03,PAC
technique_solar_34MW,7732,B07_INV04,PAC
technique_solar_34MW,7732,B08_INV01,PAC
technique_solar_34MW,7732,B08_INV02,PAC
